MUNICIPIO,MUNICIPIO_2,POBLACION,AÑO
Paras,PARAS,1034,2012
Pesqueria ,PESQUERIA ,20843,2012
Rayones,RAYONES,2628,2012
Sabinas Hidalgo,SABINAS HIDALGO,34671,2012
Salinas Victoria,SALINAS VICTORIA,32660,2012
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,443273,2012
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,122659,2012
Santa Catarina,SANTA CATARINA,268955,2012
Santiago,SANTIAGO,40469,2012
Vallecillo,VALLECILLO,1971,2012
Villaldama,VILLALDAMA,4113,2012
Nuevo Leon,NUEVO LEON,4653458,2013
Abasolo,ABASOLO,2791,2013
Agualeguas,AGUALEGUAS,3443,2013
Allende,ALLENDE,32593,2013
Anahuac,ANAHUAC,18480,2013
Apodaca,APODACA,523370,2013
Aramberri,ARAMBERRI,15470,2013
Bustamante,BUSTAMANTE,3773,2013
Cadereyta Jimenez,CADEREYTA JIMENEZ,86445,2013
El Carmen,EL CARMEN,16092,2013
Cerralvo,CERRALVO,7855,2013
China,CHINA,10864,2013
Cienega De Flores,CIENEGA DE FLORES,24526,2013
Dr. Arroyo,DR. ARROYO,35445,2013
Dr. Coss,DR. COSS,1716,2013
Dr. Gonzalez,DR. GONZALEZ,3345,2013
Galeana,GALEANA,39991,2013
Garcia,GARCIA,143668,2013
Gral Bravo,GRAL BRAVO,5527,2013
Gral Escobedo,GRAL ESCOBEDO,357937,2013
Gral Teran,GRAL TERAN,14437,2013
Gral Treviño,GRAL TREVIÑO,1277,2013
Zaragoza,ZARAGOZA,5942,2013
Gral Zuazua,GRAL ZUAZUA,55213,2013
Guadalupe,GUADALUPE,678006,2013
Hidalgo,HIDALGO,16604,2013
Higueras,HIGUERAS,1594,2013
Hualahuises,HUALAHUISES,6914,2013
Iturbide,ITURBIDE,3558,2013
Juarez,JUAREZ,256970,2013
Lampazos,LAMPAZOS,5349,2013
Linares,LINARES,78669,2013
Aldamas,ALDAMAS,1374,2013
Herreras,HERRERAS,2030,2013
Ramones,RAMONES,5359,2013
Marin,MARIN,5488,2013
Melchor Ocampo,MELCHOR OCAMPO,862,2013
Mier Y Noriega,MIER Y NORIEGA,7095,2013
Mina,MINA,5447,2013
Montemorelos,MONTEMORELOS,59113,2013
Monterrey,MONTERREY,1135550,2013
Paras,PARAS,1034,2013
Pesqueria ,PESQUERIA ,20843,2013
Rayones,RAYONES,2628,2013
Sabinas Hidalgo,SABINAS HIDALGO,34671,2013
Salinas Victoria,SALINAS VICTORIA,32660,2013
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,443273,2013
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,122659,2013
Santa Catarina,SANTA CATARINA,268955,2013
Santiago,SANTIAGO,40469,2013
Vallecillo,VALLECILLO,1971,2013
Villaldama,VILLALDAMA,4113,2013
Nuevo Leon,NUEVO LEON,4653458,2014
Abasolo,ABASOLO,2791,2014
Agualeguas,AGUALEGUAS,3443,2014
Allende,ALLENDE,32593,2014
Anahuac,ANAHUAC,18480,2014
Apodaca,APODACA,523370,2014
Aramberri,ARAMBERRI,15470,2014
Bustamante,BUSTAMANTE,3773,2014
Cadereyta Jimenez,CADEREYTA JIMENEZ,86445,2014
El Carmen,EL CARMEN,16092,2014
Cerralvo,CERRALVO,7855,2014
China,CHINA,10864,2014
Cienega De Flores,CIENEGA DE FLORES,24526,2014
Dr. Arroyo,DR. ARROYO,35445,2014
Dr. Coss,DR. COSS,1716,2014
Dr. Gonzalez,DR. GONZALEZ,3345,2014
Galeana,GALEANA,39991,2014
Garcia,GARCIA,143668,2014
Gral Bravo,GRAL BRAVO,5527,2014
Gral Escobedo,GRAL ESCOBEDO,357937,2014
Gral Teran,GRAL TERAN,14437,2014
Gral Treviño,GRAL TREVIÑO,1277,2014
Zaragoza,ZARAGOZA,5942,2014
Gral Zuazua,GRAL ZUAZUA,55213,2014
Guadalupe,GUADALUPE,678006,2014
Hidalgo,HIDALGO,16604,2014
Higueras,HIGUERAS,1594,2014
Hualahuises,HUALAHUISES,6914,2014
Iturbide,ITURBIDE,3558,2014
Juarez,JUAREZ,256970,2014
Lampazos,LAMPAZOS,5349,2014
Linares,LINARES,78669,2014
