id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,localidad,latitud,longitud
2921470,JARDIN DE NIÑOS PABLO MONTESINO TV,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,García                                                                                                        ,25.80119288,-100.5926114
2928088,JARDIN DE NIÑOS PABLO NERUDA,,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Monterrey                                                                                                     ,25.69461999,-100.3262895
3000419,JARDIN DE NIÑOS PABLO NERUDA,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Montemorelos                                                                                                  ,25.17531137,-99.83551835
3000420,JARDIN DE NIÑOS PABLO NERUDA,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Montemorelos                                                                                                  ,25.17531344,-99.83551951
3001210,JARDIN DE NIÑOS PABLO O HIGGINS,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Rayones                                                                                                       ,25.01494008,-100.0756559
3013238,JARDIN DE NIÑOS PABLO PICASSO,SECRETARÍA DE EDUCACIÓN ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Ciudad Sabinas Hidalgo                                                                                        ,26.5179796,-100.1771519
3036459,JARDIN DE NIÑOS PABLO RUIZ PICASSO,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Linares                                                                                                       ,24.85849122,-99.52705639
3047661,JARDIN DE NIÑOS PABLO SALCE ARREDONDO,SECRETARÍA DE EDUCACIÓN PÚBLICA FEDERAL ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Linares                                                                                                       ,24.83188347,-99.57922206
3006755,JARDIN DE NIÑOS PASCUAL OROZCO ZONA 40,SECRETARIA DE EDDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.65714852,-100.1758604
8523925,JARDIN DE NIÑOS PAUL CEZANNE,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Jardines de la Silla (Jardines)                                                                               ,25.61121866,-100.179185
2987632,JARDIN DE NIÑOS PAUL CEZANNE,19DJN2202O SECRETARIA DE EDUCACION PUBLICA JUAREZ N.L ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Jardines de la Silla (Jardines)                                                                               ,25.61127523,-100.179258
2929407,JARDIN DE NIÑOS PAULO FREIRE,SECRETARÍA DE EDUCACIÓN ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.68975873,-100.1888743
2984229,JARDIN DE NIÑOS PAULO FREIRE TV,,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.6897153,-100.1894115
2946620,JARDIN DE NIÑOS PEDRO BENITEZ LEAL TURNO MATUTINO CCT19DJNO7972,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Fraccionamiento Cosmópolis Octavo Sector                                                                      ,25.82462254,-100.2457458
2946621,JARDIN DE NIÑOS PEDRO BENITEZ LEAL TURNO VESPERTINO 19DJN0886,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Fraccionamiento Cosmópolis Octavo Sector                                                                      ,25.8246282,-100.2457466
3029629,JARDIN DE NIÑOS PEDRO CALDERON DE LA BARCA TURNO MATUTINO,SECRETARIA DE EDUCACION PUBLICA GOBIERNO FEDERAL ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Ciudad de Allende                                                                                             ,25.30355117,-100.0320452
2999198,JARDIN DE NIÑOS PEDRO CALDERON DE LA BARCA TURNO VESPERTINO,SECRETARIA DE EDUCACION PUBLICA GOBIERNO FEDERAL ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Ciudad de Allende                                                                                             ,25.30356908,-100.0320661
3015218,JARDIN DE NIÑOS PEDRO DE ALBA,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,San Nicolás de los Garza                                                                                      ,25.73135359,-100.309416
2982752,JARDIN DE NIÑOS PEDRO DE ALBA  19DJN0178R,GOBIERNO ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.66039992,-100.2385564
8731189,JARDIN DE NIÑOS PEDRO GARZA CANTU,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,García                                                                                                        ,25.79286673,-100.552211
8731188,JARDIN DE NIÑOS PEDRO GARZA CANTU,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,García                                                                                                        ,25.7929312,-100.5521923
3015608,JARDIN DE NIÑOS PEDRO GARZA GONZALEZ,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Ciudad Benito Juárez                                                                                          ,25.64754077,-100.1014737
3015609,JARDIN DE NIÑOS PEDRO GARZA GONZALEZ TURNO MATUTINO,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Ciudad Benito Juárez                                                                                          ,25.64754993,-100.101478
3043740,JARDIN DE NIÑOS PEDRO J HURTADO,UNIDAD DE INTEGRACIÓN EDUCATIVA DE NUEVO LEÓN ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Montemorelos                                                                                                  ,25.19016027,-99.80833773
2931288,JARDIN DE NIÑOS PEDRO JOSE GARCIA TURNO MATUTINO 19DJN0675P FEDERAL,EL GOBIERNO ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.77962106,-100.2954029
2931289,JARDIN DE NIÑOS PEDRO JOSE GARCIA TURNO VESPERTINO 19DJN0733P FEDERAL,EL GOBIERNO ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.77948447,-100.2954189
2915479,JARDIN DE NIÑOS PEDRO M MARTINEZ,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.67164926,-100.2642117
3054674,JARDIN DE NIÑOS PEDRO MARIA ANAYA,SECRETARÍA DE EDUCACIÓN ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Guadalupe                                                                                                     ,25.6794504,-100.2151238
2946102,JARDIN DE NIÑOS PEDRO MARIA ANAYA DE ALVAREZ,SEP ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,Fraccionamiento Real Palmas                                                                                   ,25.8945994,-100.1760397
7787649,JARDIN DE NIÑOS PEDRO MIALET Y RABADA,,611111,Escuelas de educación preescolar del sector privado,6 a 10 personas,Monterrey                                                                                                     ,25.69982072,-100.3470077
3017264,JARDIN DE NIÑOS PEDRO PABLO RUBENS,,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Ciudad Cerralvo                                                                                               ,26.08319414,-99.6086603
3049182,JARDIN DE NIÑOS PEDRO R NAVA C T 19DJNOO74W,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,Doctor Arroyo                                                                                                 ,23.67715818,-100.1744103
2922317,JARDÍN DE NIÑOS PEDRO WOOF FERNANDEZ,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,11 a 30 personas,García                                                                                                        ,25.78554249,-100.5856988
3012409,JARDIN DE NIÑOS PEPE GRILLO,,611111,Escuelas de educación preescolar del sector privado,6 a 10 personas,Ciudad Santa Catarina                                                                                         ,25.67203107,-100.4534757
2987083,JARDIN DE NIÑOS PETRA GUAJARDO,GOBIERNO ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.63718664,-100.1903749
3005228,JARDIN DE NIÑOS PETRA GUAJARDO CANTU CLAVE 19EJN0524I TV,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.63717784,-100.1902992
